"Nivel general","Alimentos y bebidas no alcohólicas","Alimentos","Pan y cereales","Carnes y derivados","Leche, productos lácteos y huevos","Aceites, grasas y manteca","Frutas","Verduras, tubérculos y legumbres","Azúcar, dulces, chocolate, golosinas, etc,","Bebidas no alcohólicas","Café, té, yerba y cacao","Aguas minerales, bebidas gaseosas y jugos","Bebidas alcohólicas y tabaco","Bebidas alcohólicas","Tabaco","Prendas de vestir y calzado","Prendas de vestir y materiales","Calzado","Vivienda, agua, electricidad y otros combustibles","Alquiler de la vivienda y gastos conexos","Alquiler de la vivienda","Mantenimiento y reparación de la vivienda","Electricidad, gas y otros combustibles","Equipamiento y mantenimiento del hogar","Bienes y servicios para la conservación del hogar","Salud","Productos medicinales, artefactos y equipos para la salud","Gastos de prepagas","Transporte","Adquisición de vehículos","Funcionamiento de equipos de transporte personal","Combustibles y lubricantes para vehículos de uso del hogar","Transporte público","Comunicación","Servicios  de telefonía e internet","Recreación y cultura","Equipos audiovisuales, fotográficos y de procesamiento de la información","Servicios recreativos y culturales","Periódicos, diarios, revistas, libros y artículos de papelería","Educación","Restaurantes y hoteles","Restaurantes y comidas fuera del hogar","Bienes y servicios varios","Cuidado personal","Periodo","Mes","Año","Interanual"
1.3,1.3,1.3,1.5,-1.1,2.2,1.7,3.6,4.7,1.9,1.5,1.4,1.5,0.5,1.2,0,-2.1,-2.7,-0.5,0,-0.7,2.1,3.4,0,0.9,0.7,1.4,2.1,0,1.8,2.8,2.2,2.5,0.6,3.8,3.9,3.2,1.5,4,2.4,0.5,3.3,2.3,2.1,1.5,2017-01-01,"01","2017",NA
2.5,1.8,2,2.2,0,3.1,1.3,1,6.9,1,0.7,2.3,0.2,5,1.9,7.3,-0.5,-0.8,0.6,8.4,7.5,2.8,0.2,17.6,0.3,0.8,3.3,2.3,5.3,1.8,0.7,3.4,2.1,0.2,4.1,4.3,0.1,-2.7,1.3,2.4,4.4,1.8,1.9,2,1.9,2017-02-01,"02","2017",NA
2.4,3.5,3.7,2.8,5.4,2.6,1.9,-2.2,7.7,1.5,2.3,1.9,2.4,1.5,2.1,1.2,4.8,5.9,1.5,2.2,-2.6,2,1.5,13,0.9,0.9,1.9,2.9,0.6,1,-0.5,1.9,0.2,0.7,2.4,2.5,1.4,1.3,2.7,0.8,6.7,1,1.9,1.4,1.5,2017-03-01,"03","2017",NA
2.6,2.3,2.3,2.1,2.5,5.3,2.6,-2.9,0.8,1.2,2,1.8,2,2.3,1.6,2.8,5.1,5.6,3.4,4.6,1.4,2.2,2.7,12.3,1,0.7,1.4,2.2,0,0.5,0.4,1.5,1.1,-0.8,6.8,6.9,3.4,0.3,6.5,0.8,3.9,2,2.2,1.9,2,2017-04-01,"04","2017",NA
1.3,1.1,1,0.9,1,2.4,-0.1,3.7,-2.2,1.4,1.6,1.6,1.6,1.9,2.6,1.4,0.6,0.7,0.3,1.9,1.6,2.2,1.1,0.4,3,4.8,1.5,2.7,0,1.1,2.1,0.9,0.8,0.6,0,0,0.9,0.8,1.9,2.8,1.9,1,1.2,1.4,1.3,2017-05-01,"05","2017",NA
1.4,1.3,1.3,1.9,-0.2,3.6,1.1,0.8,1.8,2.3,1,1.9,0.7,0.5,1.1,0,0.6,0.8,0,2.4,1.7,2.2,2.1,0.4,1.4,2,1.3,2.2,0,0.3,1.2,0.1,-0.1,0.1,1.9,1.8,3,1.5,3.7,1.1,0.7,1.7,1.7,1,1.2,2017-06-01,"06","2017",NA
1.7,1.2,1.1,1.8,0.9,1.8,4,1.6,-2.1,1.2,2.2,2.6,2.2,3.4,3.4,3.3,-1.8,-2.6,0.6,2.5,4.2,2.2,1.8,0.5,2.5,3.3,3.4,2.3,6,1.4,-1.3,2.8,3.4,1.3,0.5,0.6,3.1,0.7,0.8,2.5,0.7,2.5,1.7,1.5,0.9,2017-07-01,"07","2017",NA
1.5,2.2,2.3,1.2,1,0.8,1.7,2,12,1.6,1.5,1.3,1.6,1.3,2.2,0.6,-0.9,-1.1,-0.4,2.6,4.2,2.1,4,0.3,1,0.6,2.9,1.5,4.9,1.1,0.4,0.5,0.6,2.3,1.9,1.9,0,2.5,0.4,3,1.5,0.9,1.4,1.5,1.6,2017-08-01,"08","2017",NA
2,1.9,1.7,1.1,1.6,0.8,1.6,2.7,3.3,2,3.2,1.6,3.7,0.7,1.6,0,5.9,6.5,4.1,0.8,1.4,2.3,1.8,-0.2,0.9,0.5,2.4,1.6,4.5,0.9,2.4,0.6,0.3,0.4,0.9,1,3.4,3.2,4.9,1.2,5.2,1.2,1.3,1.9,1.8,2017-09-01,"09","2017",NA
1.3,1.5,1.5,0.7,1.2,0.2,-0.2,5.3,3.8,1.6,2.2,1,2.5,3.2,2.8,3.5,1.6,1.8,0.8,0.5,1,1.6,0.1,0,0.8,0.6,0.8,1.1,0.4,0.8,0.8,1.4,1.4,0,4.8,4.9,0.5,-0.8,1.2,1.4,0.7,1.7,1.7,1.5,1.6,2017-10-01,"10","2017",NA
1.2,1,0.7,1.2,0.5,1.4,0.4,7,-3.3,1.3,2.8,1.9,3.1,1.1,2.1,0.3,1.1,0.9,1.8,1,1.7,2.7,1.2,-0.1,0.7,0.4,1.2,1.9,0,2.7,2.8,3.5,4.4,1.4,0.6,0.5,0.1,1.6,-1.5,1.5,0.4,1.7,1.7,1.2,1.4,2017-11-01,"11","2017",NA
